execucao_id,cenario,familia_intencionada,classe,ids,n_alertas,n_corretos,n_errados,familias_detectadas,rotulo,familia_prevista
campanha02-benigno-http-benigno-r10,benigno-http,http,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-http-benigno-r10,benigno-http,http,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-http-benigno-r10,benigno-http,http,benigno,zeek,0,0,0,-,TN,-
campanha02-udp-flood-malicioso-r13,udp-flood,flood-udp,malicioso,suricata,25809,25809,0,flood-udp,TP,flood-udp
campanha02-udp-flood-malicioso-r13,udp-flood,flood-udp,malicioso,snort,16117,16117,0,flood-udp,TP,flood-udp
campanha02-udp-flood-malicioso-r13,udp-flood,flood-udp,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r02,ssh-bruteforce,ssh-brute,malicioso,suricata,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r02,ssh-bruteforce,ssh-brute,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r02,ssh-bruteforce,ssh-brute,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-benigno-dns-benigno-r03,benigno-dns,dns,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-dns-benigno-r03,benigno-dns,dns,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-dns-benigno-r03,benigno-dns,dns,benigno,zeek,0,0,0,-,TN,-
campanha02-dos-http-simple-malicioso-r02,dos-http-simple,dos-http,malicioso,suricata,30,28,2,dos-http;flood-syn,TP,dos-http
campanha02-dos-http-simple-malicioso-r02,dos-http-simple,dos-http,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-dos-http-simple-malicioso-r02,dos-http-simple,dos-http,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-syn-flood-malicioso-r02,syn-flood,flood-syn,malicioso,suricata,2,2,0,flood-syn,TP,flood-syn
campanha02-syn-flood-malicioso-r02,syn-flood,flood-syn,malicioso,snort,281,281,0,flood-syn,TP,flood-syn
campanha02-syn-flood-malicioso-r02,syn-flood,flood-syn,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-benigno-ssh-benigno-r13,benigno-ssh,ssh,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r13,benigno-ssh,ssh,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r13,benigno-ssh,ssh,benigno,zeek,0,0,0,-,TN,-
campanha02-dns-tunneling-malicioso-r13,dns-tunneling,dns-tunneling,malicioso,suricata,204,204,0,dns-tunneling,TP,dns-tunneling
campanha02-dns-tunneling-malicioso-r13,dns-tunneling,dns-tunneling,malicioso,snort,53,53,0,dns-tunneling,TP,dns-tunneling
